period,player_seasons,players,minutes_weighted_mean,weighted_p10,weighted_p25,weighted_median,weighted_p75,weighted_p90,unweighted_mean,unweighted_median,unweighted_sd,top_rating,weighted_p90_p10_gap,top_minus_weighted_median
1977-79,860,860.0,1492.9867450163395,1266.1367314182448,1346.750508424729,1479.4385783455214,1637.7807626238516,1736.5049256444604,1409.9331725314428,1371.0434636380928,178.84149189219175,2035.90559633773,470.36819422621556,556.4670179922086
1980s,3192,3192.0,1597.8269950879226,1366.7801645813947,1459.1817121188226,1585.8779802740771,1724.3051256017757,1838.463364574964,1505.7327896475695,1467.1475439735386,175.87564437766557,2250.306411803543,471.68319999356936,664.428431529466
1990s,4102,4102.0,1640.3031013539103,1409.1242855513694,1500.8283136994175,1631.948284440852,1758.4516737387376,1878.765123755344,1532.4979293291196,1489.0443967909684,177.26943070329438,2228.250731607169,469.64083820397445,596.3024471663173
2000s,4462,4462.0,1646.4502112938483,1430.430132176013,1505.5185062411244,1622.3549494261506,1767.2165364267953,1894.7859598145756,1542.7149473363527,1496.313834558037,170.94599847208136,2299.1417090353198,464.35582763856246,676.7867596091692
2010s,4844,4844.0,1637.3781147776767,1430.05974047701,1503.6096053073325,1608.8478016616948,1748.2234293071288,1878.5258434998696,1543.8660944312937,1502.714176489746,165.40462639415867,2277.297154949054,448.46610302285944,668.4493532873591
2020-26,3938,3938.0,1634.7706453436879,1424.1824783409131,1494.349671652927,1598.1122886057483,1747.0990376127704,1908.866010882541,1532.937740913475,1482.4778770952494,169.95625392727007,2210.484174352974,484.683532541628,612.3718857472259
