player_id,full_name,regular_games,playoff_games,regular_baseline_elo,playoff_baseline_elo,regular_total_delta,playoff_total_delta,regular_mean_delta,playoff_mean_delta,regular_median_delta,playoff_median_delta,regular_change_rate,playoff_change_rate,playoff_minus_regular,quadrant,regular_rate_pct,playoff_rate_pct,effect_pct,z_score,p_value,significant_5pct,significance_label,distance_from_origin
77168,Mickey Johnson,729.0,19.0,1591.4960737313495,1567.1803728990917,-197.15929597083664,185.27542757269936,-0.2704517091506675,9.751338293299968,-1.1906444901233346,5.250923604157622,-0.0001699355176645,0.0062222182346893,0.0063921537523539,Q2,-0.014960996137789988,0.6313451236099696,0.6463061197477596,1.9284222068179209,0.053802631858332464,False,not_significant,0.0062245383636269705
77975,Anthony Roberts,213.0,16.0,1357.700632229691,1421.8839458161342,-224.899113697446,112.41194620163115,-1.0558643835560844,7.025746637601947,-1.6209085798465028,6.933462913770882,-0.0007776857125138,0.0049411533608457,0.0057188390733595,Q2,-0.07360740219827772,0.49990439409210846,0.5735117962903862,1.6194571243739984,0.10534894447792595,False,not_significant,0.005001978768731916
1742,Shammond Williams,312.0,15.0,1490.262690996219,1467.815958075893,-119.56317410334822,117.9985360896258,-0.3832153016132956,7.866569072641719,-1.5704098077891633,-2.296082700770542,-0.0002571461420383,0.0053593701780935,0.0056165163201318,Q2,-0.023229362315001112,0.5162448732773185,0.5394742355923197,1.0814060167911026,0.27951654640014445,False,not_significant,0.0053655356530548865
1630558,Davion Mitchell,370.0,16.0,1473.2761922905006,1448.8217045843903,59.11382923988656,99.3062210122346,0.1597671060537474,6.206638813264663,-0.980880277515753,1.520693746189364,0.0001084434180704,0.0042839217507754,0.004175478332705,Q1,0.012626776711650769,0.40781792534539585,0.3951911486337451,2.0235834586231514,0.04301302842255149,True,significant,0.004285294102122906
76895,Bob Gross,437.0,25.0,1448.7679994563966,1517.4164180129012,-161.72465797537888,147.15769841082286,-0.3700793088681439,5.886307936432915,-1.24775389947332,2.292521647116505,-0.0002554441491025,0.0038791645236982,0.0041346086728007,Q2,-0.022968401531377483,0.40114321399486835,0.42411161552624577,1.3599507374392663,0.1738455135330785,False,not_significant,0.003887565962813928
934,Derrick Coleman,779.0,39.0,1795.712792002795,1765.7057533803084,-67.62997454216847,261.6811103785945,-0.0868163986420648,6.709772060989604,-1.5477738220350394,5.637598755428135,-4.834648337345568e-05,0.0038000510833383,0.0038483975667118,Q2,-8.526567316897994e-05,0.3634336372221001,0.3635189028952691,3.676022342177517,0.00023689878475770826,True,significant,0.003800358617082757
76767,Terry Furlow,234.0,16.0,1428.9631096775356,1455.8992576306046,-90.79011095571128,79.38279172887776,-0.3879919271611593,4.96142448305486,-1.972732294472476,6.722930016966757,-0.0002715199045612,0.0034078075505919,0.0036793274551532,Q2,-0.02491345625054288,0.33760384220207607,0.36251729845261893,2.6621035789064886,0.007765397872911014,True,significant,0.0034186072252372145
1744,Jerome James,353.0,17.0,1417.5289117685838,1461.831467288613,-157.26159343215616,83.36283220134366,-0.445500264680329,4.903696011843745,-1.3255076862929325,0.8036870739840355,-0.0003142794908673,0.0033544879294047,0.0036687674202721,Q2,-0.03109652307855684,0.34664898696742574,0.37774551004598256,1.6883501098517,0.0913440413808142,False,not_significant,0.0033691780699306533
76899,Ernie Grunfeld,685.0,42.0,1377.9051171374103,1407.4421921264593,-266.4834328687372,195.4486419125514,-0.3890269092974266,4.653539093155986,-1.0375938495689936,-0.5379848377788287,-0.0002823321464293,0.0033063802685388,0.0035887124149682,Q2,-0.025564110027887433,0.3105758087217129,0.3361399187496003,2.3850609320833978,0.017076292749252684,True,significant,0.003318412560410487
76526,Johnny Davis,737.0,43.0,1601.040568085824,1429.324730606649,-215.99541337338908,201.02116891488663,-0.2930738309001208,4.674910904997364,-1.2855985854656746,-0.7703679635285978,-0.0001830520954572,0.0032707129491932,0.0034537650446504,Q2,-0.020398943019779302,0.3547611130386655,0.37516005605844477,1.795501983490496,0.07257375701955965,False,not_significant,0.0032758313854152126
78656,Blair Rasmussen,532.0,29.0,1514.5192629569276,1556.396563945824,-166.91938133248885,144.83207448630017,-0.313758235587385,4.994209465044833,-1.2836642964644511,-2.448038619555605,-0.0002071668834206,0.0032088283800777,0.0034159952634984,Q2,-0.021714608539991527,0.36579274092255304,0.38750734946254456,1.315023663422801,0.18850194977929366,False,not_significant,0.003215508931783316
76249,Ron Brewer,494.0,16.0,1506.4562470964972,1440.9966831652955,-121.6218174470508,74.07560127803805,-0.2461980110264186,4.629725079877378,-1.4963459974714413,2.960440297709177,-0.0001634285838044,0.003212863106463,0.0033762916902675,Q2,-0.01443755160003848,0.30976733731623934,0.3242048889162778,1.1909553278383789,0.23367112244775107,False,not_significant,0.0032170169789535446
1629614,Andrew Nembhard,264.0,40.0,1553.7287254761936,1613.5495540712884,51.8627821324079,223.8010883613476,0.1964499323197269,5.59502720903369,-0.6868605336770968,5.3309310941596735,0.0001264377295074,0.003467527349821,0.0033410896203135,Q1,0.016992886573100243,0.3503526358633572,0.33335974929025697,2.5357399286382596,0.01122100326867333,True,significant,0.0034698317569011377
202730,Lavoy Allen,385.0,23.0,1468.601314368216,1475.8366487373687,-109.66789199960768,104.61985956652572,-0.2848516675314485,4.548689546370683,-1.130963550046789,-0.3932325981831102,-0.0001939611961017,0.0030821090872504,0.0032760702833521,Q2,-0.017831195916666757,0.302274072635861,0.32010526855252774,1.2552495370983896,0.20938818778133989,False,not_significant,0.0030882061737041934
2804,Andres Nocioni,513.0,23.0,1529.718941808543,1670.760778403819,-133.36702020010804,113.27315504901136,-0.2599746982458246,4.924919784739624,-1.562456366398851,-3.893414044835441,-0.0001699493228072,0.0029477109161281,0.0031176602389353,Q2,-0.014704610656962255,0.3067715981670286,0.32147620882399086,1.0354766877411257,0.3004463480031126,False,not_significant,0.002952606038296235
200789,Daniel Gibson,395.0,47.0,1522.2656180092497,1523.1623095313248,-234.77442014680264,195.13772438917823,-0.5943656206248168,4.151866476365495,-1.2188041017398905,-1.1943542353144678,-0.0003904480358704,0.0027258201246084,0.0031162681604788,Q2,-0.03818297050369969,0.27590840574971737,0.3140913762534171,1.7352506263727379,0.08269642285435344,False,not_significant,0.0027536421373219877
78395,Darnell Valentine,598.0,26.0,1514.9282838888878,1574.1775495810118,-20.919109381284777,124.91696866740946,-0.034981788263018,4.804498794900364,-1.2906356930179252,1.889730665458892,-2.3091382367763465e-05,0.0030520691876079,0.0030751605699756,Q2,-0.0004420713275860358,0.3081857860419793,0.30862785736956533,2.0216081051696553,0.043216854063374756,True,significant,0.00305215653888938
203460,Andre Roberson,304.0,26.0,1458.5534295919504,1471.6349515242562,-38.99174817428516,114.11268647572884,-0.1282623295206748,4.388949479835724,-1.0548234921796724,0.9197363320272114,-8.793803978545917e-05,0.0029823628986861,0.0030703009384716,Q2,-0.007146126147584072,0.28863705622570046,0.2957831823732845,2.2339058960311804,0.025489265543017607,True,significant,0.0029836590888204146
78556,Kevin Williams,252.0,20.0,1363.044466411725,1360.4186790328415,-185.297562306594,66.13485138223095,-0.7353077869309287,3.3067425691115475,-1.17221685284025,0.206425258789354,-0.000539459867268,0.002430680069361,0.002970139936629,Q2,-0.05373577013998295,0.24621798001996137,0.29995375015994435,2.177336406805255,0.029455476693472985,True,significant,0.002489823798581258
1629060,Rui Hachimura,404.0,45.0,1597.385244137498,1596.3365530226129,38.59507004976157,205.49797557822916,0.0955323516083207,4.566621679516203,-1.0875873691248024,1.8948029856775748,5.980545517052341e-05,0.002860688537683,0.0028008830825124,Q1,0.009576797717124127,0.2858947193615992,0.2763179216444751,2.4499169892762684,0.01428891523175411,True,significant,0.0028613136147753976
1884,Baron Davis,835.0,50.0,1838.2307663962008,1868.902727985766,-68.12581267243641,250.81995199011112,-0.0815877996077082,5.016399039802223,-0.8687223001789999,6.596466993726363,-4.438387230764222e-05,0.0026841413224372,0.0027285251947448,Q2,-0.00038520458296625507,0.2681419932263999,0.2685271978093662,2.035536381959841,0.04179693165448152,True,significant,0.002684508254212667
168,Chris Mills,567.0,19.0,1609.2978004509357,1600.1486790886988,-46.49214641049496,81.23669700905499,-0.0819967308827071,4.275615632055526,-1.1765710916448195,-1.7028757882213683,-5.0951869106967736e-05,0.0026720114748902,0.0027229633439972,Q2,-0.0033153189720752686,0.27548259621679383,0.2787979151888691,0.8494288392411168,0.3956427114403152,False,not_significant,0.002672497224490681
200782,P.J. Tucker,883.0,105.0,1529.3339719704754,1502.1962210634772,-395.7216030419391,379.6574628007778,-0.4481558358345856,3.615785360007408,-1.305871426334751,1.6457227174818496,-0.0002930398749052,0.0024069993715252,0.0027000392464305,Q2,-0.028835660470361235,0.23948882604913926,0.2683244865195005,4.697721952937523,2.6307923257072415e-06,True,significant,0.002424771812523224
179,Bryant Stith,585.0,15.0,1604.6313662900634,1643.286969674225,-22.901599059996364,63.628036055101646,-0.0391480325811903,4.24186907034011,-1.58393601480838,3.859310787170205,-2.439690099770474e-05,0.0025813318967538,0.0026057287977515,Q2,-0.00027720051202915195,0.2632590090249296,0.2635362095369588,1.0826871728974123,0.2789472994201737,False,not_significant,0.002581447185199973
76385,Maurice Cheeks,1089.0,133.0,1713.0056519495818,1717.3157772045845,-489.0049172652269,529.1054243582495,-0.4490403280672423,3.978236273370297,-1.1190970531742217,2.534473889202921,-0.0002621359290649,0.0023165432509133,0.0025786791799782,Q2,-0.025301708196692828,0.24013412481726626,0.26543583301395907,3.374306329987122,0.0007400196759386889,True,significant,0.002331327492794326
202347,Quincy Pondexter,345.0,33.0,1455.1489319162176,1466.746879640712,-131.74406304712954,108.56314571778516,-0.3818668494119697,3.2897922944783384,-1.3141057649231247,-1.0622036784270172,-0.0002624245814544,0.0022429175341311,0.0025053421155856,Q2,-0.025218063077507315,0.22070974365479185,0.24592780673229914,2.3371736514591634,0.019430156618140428,True,significant,0.002258217377903255
1629634,Brandon Clarke,309.0,15.0,1634.7628419087562,1678.2444571237045,85.13296871385842,66.67489276832,0.2755112256111923,4.4449928512213335,-0.8644060273335793,-0.0093221231093425,0.000168532840696,0.0026485967716762,0.0024800639309801,Q1,0.021084459308663185,0.26942141320769736,0.24833695389903415,1.2924458462488624,0.19620278841405647,False,not_significant,0.0026539533110675954
600005,Bob Lanier,487.0,48.0,1745.0097279897147,1668.8428028993872,-181.8166653199592,175.7332312072926,-0.373340175194988,3.661108983485262,-1.221532296755876,2.0360203778934536,-0.0002139473317579,0.0021938009842056,0.0024077483159635,Q2,-0.019249881338553813,0.21043601977267803,0.22968590111123185,2.2647837378536346,0.023525953849467093,True,significant,0.0022042087512456217
