player_id,full_name,regular_games,playoff_games,regular_baseline_elo,playoff_baseline_elo,regular_total_delta,playoff_total_delta,regular_mean_delta,playoff_mean_delta,regular_median_delta,playoff_median_delta,regular_change_rate,playoff_change_rate,playoff_minus_regular,quadrant
77168,Mickey Johnson,729.0,19.0,1591.4960737313495,1567.1803728990917,-197.15929597083664,185.27542757269939,-0.2704517091506675,9.751338293299968,-1.1906444901233346,5.250923604157622,-0.00016993551766456997,0.00622221823468934,0.0063921537523539095,Q2
77975,Anthony Roberts,213.0,16.0,1357.700632229691,1421.8839458161342,-224.89911369744596,112.41194620163115,-1.0558643835560844,7.025746637601947,-1.6209085798465028,6.933462913770882,-0.0007776857125138738,0.004941153360845708,0.005718839073359581,Q2
1742,Shammond Williams,312.0,15.0,1490.262690996219,1467.815958075893,-119.56317410334822,117.99853608962579,-0.3832153016132956,7.8665690726417195,-1.5704098077891633,-2.296082700770542,-0.00025714614203830184,0.005359370178093527,0.005616516320131829,Q2
1630558,Davion Mitchell,370.0,16.0,1473.2761922905006,1448.8217045843903,59.11382923988656,99.3062210122346,0.15976710605374747,6.206638813264663,-0.980880277515753,1.5206937461893641,0.00010844341807041472,0.00428392175077547,0.004175478332705055,Q1
76895,Bob Gross,437.0,25.0,1448.7679994563966,1517.4164180129012,-161.72465797537888,147.15769841082286,-0.3700793088681439,5.886307936432915,-1.24775389947332,2.292521647116505,-0.0002554441491025507,0.0038791645236982463,0.004134608672800797,Q2
934,Derrick Coleman,779.0,39.0,1795.712792002795,1765.7057533803084,-67.62997454216847,261.68111037859455,-0.0868163986420648,6.709772060989604,-1.5477738220350394,5.637598755428135,-4.834648337345568e-05,0.003800051083338353,0.003848397566711809,Q2
76767,Terry Furlow,234.0,16.0,1428.9631096775356,1455.8992576306046,-90.79011095571128,79.38279172887776,-0.3879919271611593,4.96142448305486,-1.972732294472476,6.722930016966757,-0.0002715199045612275,0.003407807550591999,0.0036793274551532268,Q2
1744,Jerome James,353.0,17.0,1417.5289117685838,1461.831467288613,-157.26159343215616,83.36283220134366,-0.44550026468032905,4.903696011843745,-1.3255076862929325,0.8036870739840355,-0.0003142794908673146,0.0033544879294047894,0.003668767420272104,Q2
76899,Ernie Grunfeld,685.0,42.0,1377.9051171374103,1407.4421921264593,-266.4834328687372,195.4486419125514,-0.3890269092974266,4.653539093155986,-1.0375938495689936,-0.5379848377788287,-0.0002823321464293766,0.0033063802685388472,0.003588712414968224,Q2
76526,Johnny Davis,737.0,43.0,1601.040568085824,1429.324730606649,-215.99541337338908,201.02116891488663,-0.29307383090012085,4.674910904997364,-1.2855985854656746,-0.7703679635285978,-0.00018305209545721555,0.0032707129491932807,0.003453765044650496,Q2
78656,Blair Rasmussen,532.0,29.0,1514.5192629569276,1556.396563945824,-166.91938133248883,144.83207448630017,-0.313758235587385,4.994209465044833,-1.2836642964644513,-2.448038619555605,-0.0002071668834206886,0.003208828380077736,0.0034159952634984247,Q2
76249,Ron Brewer,494.0,16.0,1506.4562470964972,1440.9966831652955,-121.6218174470508,74.07560127803805,-0.24619801102641864,4.629725079877378,-1.4963459974714413,2.960440297709177,-0.00016342858380449747,0.003212863106463033,0.0033762916902675306,Q2
1629614,Andrew Nembhard,264.0,40.0,1553.7287254761936,1613.5495540712884,51.8627821324079,223.80108836134758,0.1964499323197269,5.59502720903369,-0.6868605336770968,5.3309310941596735,0.0001264377295074583,0.0034675273498210118,0.0033410896203135533,Q1
202730,Lavoy Allen,385.0,23.0,1468.601314368216,1475.8366487373687,-109.66789199960768,104.61985956652572,-0.2848516675314485,4.548689546370683,-1.130963550046789,-0.3932325981831102,-0.00019396119610174127,0.0030821090872504425,0.0032760702833521836,Q2
2804,Andres Nocioni,513.0,23.0,1529.718941808543,1670.760778403819,-133.36702020010804,113.27315504901135,-0.25997469824582464,4.9249197847396236,-1.562456366398851,-3.893414044835441,-0.00016994932280727597,0.002947710916128103,0.0031176602389353793,Q2
200789,Daniel Gibson,395.0,47.0,1522.2656180092497,1523.1623095313248,-234.77442014680264,195.13772438917826,-0.5943656206248168,4.151866476365495,-1.2188041017398905,-1.1943542353144678,-0.00039044803587044247,0.0027258201246084003,0.0031162681604788426,Q2
78395,Darnell Valentine,598.0,26.0,1514.9282838888878,1574.1775495810118,-20.919109381284777,124.91696866740946,-0.034981788263018024,4.804498794900364,-1.2906356930179252,1.8897306654588921,-2.3091382367763462e-05,0.003052069187607932,0.0030751605699756955,Q2
203460,Andre Roberson,304.0,26.0,1458.5534295919504,1471.6349515242562,-38.991748174285156,114.11268647572884,-0.12826232952067484,4.388949479835724,-1.0548234921796724,0.9197363320272114,-8.793803978545917e-05,0.0029823628986861443,0.0030703009384716036,Q2
