player,games,first_date,last_date,first_age,last_age,peak_date_21g,peak_age_21g,peak_progress_21g,peak_elo_21g,distance_to_mid_center,distance_to_late_center,seasons_with_under_20_games
Larry Bird,1045,1979-10-12 20:00:00,1992-05-17 20:00:00,22.845096066312106,35.44220620546623,1988-04-15 20:00:00,31.35451104403239,78.44827586206897,2135.612265975495,4.786870138200237,3.0800433711482467,1989
Magic Johnson,1077,1979-10-12 20:00:00,1996-05-02 20:00:00,20.16194719946337,36.718070870722876,1987-04-10 20:00:00,27.655598677590916,60.13011152416357,2107.0844312496997,6.946517502846082,3.470074762434943,
